Symbol,LTP,Percentage Change,Volume
NIBLSTF,8.64,-0.11,4210.0
NIBSF2,8.7,0.06,30600.0
NICA,341.9,-0.1,71540.0
NICBF,9.13,0.05,9000.0
NICFC,9.1,-0.17,7100.0
NICGF2,9.08,-0.07,800.0
NICL,513.0,-1.0,10800.0
NICLBSL,573.0,-2.0,7424.0
NICSF,8.8,0,22120.0
NIFRA,266.0,0,156183.0
NIL,645.9,0.9,12035.0
NIMB,196.0,1.0,65476.0
NIMBPO,157.2,0,535.0
NLG,684.1,-10.9,12714.0
NLIC,790.0,1.1,40242.0
NLICL,596.0,-3.0,17586.0
NMB,241.5,-1.0,31063.0
NMB50,10.26,-0.05,600.0
NMBHF2,9.4,-0.1,15442.0
NMBMF,684.1,-11.9,7053.0
NMFBS,1130.0,-1.0,4149.0
NMIC,1316.0,49.8,41471.0
NMLBBL,669.9,21.9,65392.0
NRIC,1314.0,1.0,42882.0
NRM,445.0,2.9,57377.0
NRN,1550.0,2.0,113847.0
NSIF2,10.55,-0.1,4400.0
NTC,860.0,-2.9,12001.0
NUBL,730.0,1.0,7166.0
NWCL,874.0,14.0,6633.0
NYADI,402.0,0.9,8257.0
OHL,731.8,12.8,5912.0
OMPL,1401.9,58.9,45660.0
PBD88,1151.0,-7.0,25.0
PBLD86,1162.0,22.0,102.0
PCBL,245.0,-1.4,57855.0
PFL,386.0,9.0,12862.0
PHCL,266.5,0.6,137598.0
PMHPL,333.0,4.1,38489.0
PMLI,515.0,-1.5,14572.0
PPCL,368.5,0.5,44597.0
PPL,341.0,2.0,201143.0
PRIN,733.0,3.0,19878.0
PROFL,495.0,12.1,44817.0
PRSF,11.1,-0.2,21300.0
PRVU,188.0,1.0,103997.0
PRVUPO,100.0,0,34000.0
PSF,11.12,0.26,95930.0
PURE,1168.0,57.0,151872.0
RADHI,805.0,-10.0,211263.0
RAWA,799.0,66.0,13718.0
RBBF40,9.38,0.19,19600.0
RBCL,14990.0,90.0,70.0
RBCLPO,11950.0,150.0,33.0
RFPL,397.0,-1.8,177856.0
RHGCL,284.3,0.3,154794.0
RHPL,281.1,2.1,34649.0
RIDI,237.5,2.0,102852.0
RLFL,452.2,4.4,47651.0
RMF1,9.38,-0.01,72078.0
RMF2,9.5,-0.13,1161.0
RNLI,475.0,-1.0,33963.0
RSDC,665.0,10.0,47006.0
RSY,9.8,0.05,17180.0
RURU,675.0,7.0,12444.0
SADBL,419.0,1.0,27800.0
SAGAR,2298.0,108.0,62021.0
SAGF,9.72,-0.28,4640.0
SAHAS,565.8,5.8,87463.0
SAIL,1398.1,127.1,185329.0
SALICO,610.0,1.1,9723.0
SAND2085,1130.0,-20.4,25.0
SANIMA,341.1,-2.9,47778.0
SANVI,863.0,38.1,220656.0
SAPDBL,823.0,-5.4,36296.0
SARBTM,878.6,-4.0,40636.0
SBCF,9.4,0.01,3915.0
SBD87,1097.0,20.9,30.0
SBI,415.0,-0.1,22387.0
SBID83,1060.0,-0.6,100.0
SBID89,1165.0,-5.0,11.0
SBL,392.0,0,80907.0
SCB,631.0,-7.0,54460.0
SEF,9.59,0.02,30570.0
SFCL,399.0,1.0,20006.0
SFEF,9.63,-0.07,1600.0
SFMF,10.41,0.16,18196.0
SGHC,393.0,7.4,28406.0
SGIC,490.0,-4.0,17854.0
SHEL,291.0,5.5,133049.0
SHINE,412.0,-1.0,16996.0
SHIVM,625.0,4.4,248358.0
SHL,501.8,-0.2,17717.0
SHLB,1679.9,28.9,865.0
SHPC,553.9,2.9,107617.0
SICL,638.6,-1.4,6524.0
SIFC,598.0,42.7,111833.0
SIGS2,9.9,0.19,4350.0
SIGS3,10.15,-0.1,1500.0
SIKLES,627.8,6.8,46001.0
SINDU,741.0,1.0,50118.0
SJCL,295.0,5.7,15002.0
SJLIC,454.0,-3.0,52443.0
SKBBL,793.0,2.0,11059.0
SLBBL,836.6,-8.4,4459.0
SLBSL,1359.0,-10.0,1055.0
SLCF,9.35,0.05,23600.0
SMATA,809.0,7.0,6496.0
SMB,1864.0,4.1,1019.0
SMFBS,1740.0,0,3681.0
SMH,728.0,0,1326.0
SMHL,546.0,-8.9,40082.0
SMJC,497.0,-3.0,7308.0
SMPDA,891.9,0.9,5986.0
SNLI,482.0,-4.3,35049.0
SONA,436.0,0,49348.0
SPC,540.0,3.0,29436.0
SPDL,391.0,-1.0,140393.0
SPHL,574.0,5.3,15772.0
SPIL,739.0,3.0,11589.0
SPL,893.5,24.0,7793.0
SRBLD83,1048.5,-16.5,25.0
