symbol,ltp,percentageChange,volume
NICGF2,8.95,-0.16,1000.0
NICL,502.0,-2.0,7528.0
NICLBSL,560.0,0.5,6488.0
NICSF,8.7,0.05,25563.0
NIFRA,262.1,-0.9,79864.0
NIL,618.5,3.5,4398.0
NIMB,192.0,0,63496.0
NIMBPO,159.1,2.1,14400.0
NLG,680.0,-1.0,11938.0
NLIC,770.0,3.1,35706.0
NLICL,584.9,5.6,14633.0
NMB,239.0,1.8,36916.0
NMB50,10.31,0,4900.0
NMBHF2,9.5,0.34,17800.0
NMBMF,685.0,1.0,3035.0
NMFBS,1136.9,-10.9,9377.0
NMIC,1225.0,-8.0,8210.0
NMLBBL,634.2,-5.8,4372.0
NRIC,1286.0,-8.0,31889.0
NRM,446.9,6.9,22579.0
NRN,1371.0,-15.0,30746.0
NSIF2,10.35,0.08,3799.0
NTC,858.0,0,9482.0
NUBL,710.0,5.0,4857.0
NWCL,831.1,-16.9,4397.0
NYADI,390.0,0.1,6408.0
OHL,696.0,-6.9,2032.0
OMPL,1302.0,21.4,17008.0
PBD85,1125.0,22.0,25.0
PBD88,1215.0,-21.0,25.0
PCBL,237.0,0.8,38576.0
PFL,360.1,-4.9,18518.0
PHCL,261.9,-1.9,83992.0
PMHPL,315.0,-2.0,21812.0
PMLI,485.2,-6.8,4715.0
PPCL,349.6,4.6,21892.0
PPL,326.7,3.7,65788.0
PRIN,697.0,2.0,8867.0
PROFL,455.0,-5.0,2255.0
PRSF,10.99,-0.01,1400.0
PRVU,185.9,-0.1,49431.0
PRVUPO,100.0,-0.9,6852.0
PSF,10.7,-0.09,57795.0
PURE,1038.9,-1.1,38536.0
RADHI,763.0,9.5,151349.0
RAWA,706.0,-3.0,719.0
RBCL,14900.0,106.0,146.0
RBCLPO,12000.0,225.0,163.0
RFPL,372.6,-6.4,122478.0
RHGCL,246.9,-0.1,23894.0
RHPL,270.9,0.9,18965.0
RIDI,220.5,0.4,39774.0
RLFL,427.0,-2.0,12190.0
RMF1,9.3,0.01,3000.0
RMF2,9.45,-0.08,6800.0
RNLI,467.0,5.9,50532.0
RSDC,642.0,2.0,14461.0
RSY,9.38,-0.12,3230.0
RURU,668.0,-2.0,9636.0
SADBL,405.0,1.0,17744.0
SAGAR,1980.0,11.0,75232.0
SAGF,9.76,-0.07,4393.0
SAHAS,544.0,-4.0,76969.0
SAIL,1013.0,42.9,133885.0
SALICO,596.0,0,2350.0
SAND2085,1150.4,-6.6,75.0
SANIMA,340.0,4.5,170446.0
SANVI,795.0,60.0,205667.0
SAPDBL,829.8,-4.2,23449.0
SARBTM,877.1,-5.9,21397.0
SBCF,9.1,0,1930.0
SBI,398.0,-1.0,36828.0
SBID83,1118.0,21.2,10.0
SBID89,1195.0,-21.0,15.0
SBL,397.9,6.8,188567.0
SCB,640.0,2.0,25322.0
SDBD87,1155.0,0,50.0
SEF,9.53,-0.14,4400.0
SFCL,379.7,-8.2,13344.0
SFEF,9.69,0.17,7400.0
SFMF,10.23,-0.01,7550.0
SGHC,373.1,-1.9,37229.0
SGIC,476.9,-0.1,6654.0
SHEL,277.5,5.9,102640.0
SHINE,403.2,0.6,49873.0
SHIVM,625.0,7.5,241681.0
SHL,497.0,2.0,11547.0
SHLB,1580.9,-1.0,903.0
SHPC,529.8,0.8,37212.0
SICL,632.0,6.0,6353.0
SIFC,505.0,-3.0,13754.0
SIGS2,9.9,0.19,3000.0
SIGS3,10.02,-0.18,13700.0
SIKLES,587.9,4.9,40710.0
SINDU,714.0,-10.0,13268.0
SJCL,284.0,0,6974.0
SJLIC,441.9,-2.1,21773.0
